user_id,age,education,location,event_index,title,company,industry,start_date,end_date,salary_min,salary_max,skills,tenure_months,remote_flag
user_0000,40,bachelor,Delhi,0,junior engineer,company_65,EdTech,2016-04-19,2017-04-14,42241,56322,"[""testing"", ""python""]",12,0
user_0000,40,bachelor,Delhi,1,engineer,company_44,Healthcare,2017-07-02,2021-05-12,55735,74313,"[""git"", ""testing""]",47,0
user_0000,40,bachelor,Delhi,2,senior engineer,company_49,IT,2018-07-08,2020-09-25,62706,83608,"[""communication"", ""testing"", ""python"", ""kubernetes"", ""design""]",27,1
user_0000,40,bachelor,Delhi,3,analyst,company_49,Healthcare,2019-06-14,2020-12-05,102725,136966,"[""excel"", ""sql""]",18,1
user_0001,25,bachelor,Chennai,0,intern,company_8,Finance,2018-08-21,2019-12-14,28575,38101,"[""communication"", ""linux"", ""excel"", ""prompting"", ""python""]",16,0
user_0001,25,bachelor,Chennai,1,senior engineer,company_19,Healthcare,2019-07-05,2020-04-30,64310,85747,"[""java"", ""testing"", ""docker"", ""kubernetes""]",10,0
user_0001,25,bachelor,Chennai,2,lead engineer,company_15,Finance,2020-08-10,2023-11-23,78573,104764,"[""communication"", ""linux"", ""project management"", ""sql"", ""python"", ""design""]",40,0
user_0001,25,bachelor,Chennai,3,lead engineer,company_38,Manufacturing,2021-08-15,2022-06-11,80373,107164,"[""communication"", ""linux"", ""project management"", ""probability"", ""python"", ""design"", ""docker""]",10,0
user_0002,50,master,Delhi,0,data scientist,company_15,Healthcare,2019-05-02,2022-06-15,164468,219291,"[""sql"", ""c++"", ""python"", ""statistics"", ""machine learning"", ""docker"", ""data visualization""]",38,1
user_0002,50,master,Delhi,1,senior data scientist,company_55,Finance,2020-05-09,2023-10-21,177561,236748,"[""testing"", ""deep learning"", ""cloud"", ""python"", ""nlp"", ""statistics"", ""seo""]",42,0
user_0002,50,master,Delhi,2,senior data scientist,company_71,Finance,2021-07-03,2025-05-13,181906,242541,"[""python"", ""deep learning"", ""nlp"", ""project management""]",47,0
user_0002,50,master,Delhi,3,devops engineer,company_17,Retail,2022-07-08,2026-04-18,190767,254356,"[""linux"", ""deep learning"", ""aws"", ""kubernetes"", ""design"", ""docker""]",46,1
user_0003,35,master,Chennai,0,intern,company_44,IT,2018-11-05,2021-02-22,34145,45526,"[""communication"", ""excel""]",28,0
user_0003,35,master,Chennai,1,junior engineer,company_7,Retail,2019-11-18,2022-09-03,43466,57955,"[""git"", ""python""]",34,0
user_0004,25,bachelor,Hyderabad,0,analyst,company_28,IT,2015-05-22,2017-11-07,101731,135642,"[""deep learning"", ""excel"", ""aws"", ""sql"", ""data visualization"", ""tableau""]",30,0
user_0004,25,bachelor,Hyderabad,1,associate,company_31,Manufacturing,2016-05-06,2019-11-17,95229,126973,"[""communication"", ""data visualization"", ""excel"", ""statistics"", ""seo""]",43,0
user_0004,25,bachelor,Hyderabad,2,senior analyst,company_39,Manufacturing,2017-07-13,2021-02-22,115785,154381,"[""excel"", ""sql"", ""cloud"", ""react"", ""nlp"", ""teamwork"", ""powerbi"", ""data visualization""]",44,1
user_0005,20,bachelor,Pune,0,intern,company_70,Retail,2018-02-02,2021-03-18,24610,32814,"[""excel"", ""java"", ""communication"", ""python""]",38,1
user_0005,20,bachelor,Pune,1,junior engineer,company_71,Finance,2019-03-14,2019-09-10,42377,56503,"[""git"", ""testing"", ""python"", ""powerbi""]",6,1
user_0006,26,master,Chennai,0,data scientist,company_34,Finance,2017-10-29,2018-07-26,164260,219014,"[""machine learning"", ""sql""]",9,1
user_0006,26,master,Chennai,1,senior data scientist,company_6,Healthcare,2018-11-20,2022-04-03,176542,235389,"[""deep learning"", ""aws"", ""sql"", ""python"", ""nlp"", ""statistics"", ""kubernetes"", ""teamwork""]",41,0
user_0006,26,master,Chennai,2,devops engineer,company_53,IT,2019-10-10,2022-01-27,198155,264207,"[""git"", ""docker"", ""kubernetes"", ""marketing""]",28,0
user_0006,26,master,Chennai,3,devops engineer,company_30,Finance,2021-01-04,2023-08-22,193558,258078,"[""git"", ""linux"", ""aws"", ""prompting"", ""kubernetes"", ""docker""]",32,0
user_0007,30,bachelor,Bangalore,0,associate,company_77,Manufacturing,2018-10-10,2021-04-27,96106,128142,"[""excel"", ""communication""]",31,1
user_0007,30,bachelor,Bangalore,1,associate,company_69,Retail,2019-09-30,2023-05-12,95741,127654,"[""communication"", ""python"", ""excel"", ""testing""]",44,0
user_0007,30,bachelor,Bangalore,2,analyst,company_38,EdTech,2020-08-13,2024-07-23,106568,142090,"[""excel"", ""sql"", ""react"", ""data visualization"", ""tableau""]",48,0
user_0007,30,bachelor,Bangalore,3,senior analyst,company_27,Manufacturing,2021-10-29,2024-04-16,117765,157021,"[""excel"", ""data visualization""]",30,1
user_0008,34,bachelor,Pune,0,junior engineer,company_26,Finance,2018-09-21,2020-09-10,41800,55734,"[""git"", ""testing"", ""python""]",24,0
user_0008,34,bachelor,Pune,1,engineer,company_19,Retail,2019-11-10,2023-07-22,48773,65031,"[""git"", ""testing"", ""docker"", ""nlp""]",45,0
user_0008,34,bachelor,Pune,2,lead engineer,company_59,Finance,2020-12-18,2023-09-04,77926,103902,"[""design"", ""project management""]",33,1
user_0008,34,bachelor,Pune,3,associate,company_58,Healthcare,2021-11-25,2024-01-14,94725,126301,"[""communication"", ""excel"", ""c++"", ""powerbi"", ""seo""]",26,0
user_0008,34,bachelor,Pune,4,product manager,company_11,Finance,2022-12-17,2026-03-01,135845,181126,"[""marketing"", ""excel"", ""design"", ""project management""]",39,0
user_0009,42,bachelor,Chennai,0,analyst,company_50,Manufacturing,2017-05-26,2020-09-07,108569,144759,"[""linux"", ""excel"", ""aws"", ""sql"", ""python"", ""kubernetes"", ""data visualization"", ""tableau""]",40,0
user_0009,42,bachelor,Chennai,1,senior analyst,company_73,Retail,2018-05-18,2021-02-01,122360,163147,"[""project management"", ""excel"", ""sql"", ""react"", ""sales"", ""powerbi"", ""data visualization""]",33,0
user_0010,33,bachelor,Hyderabad,0,intern,company_70,IT,2016-08-03,2018-09-22,23820,31760,"[""excel"", ""communication"", ""python"", ""c++""]",26,1
user_0010,33,bachelor,Hyderabad,1,junior engineer,company_31,Finance,2017-06-24,2021-05-04,34793,46390,"[""testing"", ""python""]",47,1
user_0010,33,bachelor,Hyderabad,2,engineer,company_14,EdTech,2018-07-13,2021-05-28,51478,68637,"[""git"", ""linux""]",35,0
user_0011,32,master,Chennai,0,data scientist,company_2,Manufacturing,2019-03-01,2022-12-10,166480,221973,"[""testing"", ""excel"", ""sql"", ""probability"", ""python"", ""statistics"", ""machine learning"", ""docker"", ""data visualization""]",46,1
user_0011,32,master,Chennai,1,senior data scientist,company_12,Healthcare,2019-12-31,2023-10-11,183178,244238,"[""deep learning"", ""prompting"", ""python"", ""nlp"", ""statistics"", ""docker"", ""seo""]",46,1
user_0012,34,bachelor,Delhi,0,associate,company_67,Finance,2015-05-02,2017-06-20,90881,121174,"[""excel"", ""python"", ""communication"", ""design""]",26,0
user_0012,34,bachelor,Delhi,1,analyst,company_32,Healthcare,2016-04-20,2019-05-05,109886,146515,"[""excel"", ""sql"", ""react"", ""nlp"", ""data visualization"", ""tableau""]",37,1
user_0012,34,bachelor,Delhi,2,senior analyst,company_41,IT,2017-05-05,2019-08-23,121473,161965,"[""communication"", ""deep learning"", ""excel"", ""sql"", ""powerbi"", ""data visualization""]",28,0
